Nr;Land;Punkte gesamt;Wahlprozess und Pluralismus;Funktionsweise der Regierung;Politische Teilhabe;Politische Kultur;Bürgerrechte;Kategorie
1; Norwegen;9,87;10;9,64;10;10;9,71;Vollständige Demokratie
2; Island;9,58;10;9,29;8,89;10;9,71;Vollständige Demokratie
3; Schweden;9,39;9,58;9,64;8,33;10;9,41;Vollständige Demokratie
4; Neuseeland;9,26;10;9,29;8,89;8,13;10;Vollständige Demokratie
5; Dänemark;9,22;10;9,29;8,33;9,38;9,12;Vollständige Demokratie
6; Kanada;9,15;9,58;9,64;7,78;8,75;10;Vollständige Demokratie
6; Irland;9,15;9,58;7,86;8,33;10;10;Vollständige Demokratie
8; Finnland;9,14;10;8,93;8,33;8,75;9,71;Vollständige Demokratie
9; Australien;9,09;10;8,93;7,78;8,75;10;Vollständige Demokratie
10; Schweiz;9,03;9,58;9,29;7,78;9,38;9,12;Vollständige Demokratie
11; Niederlande;8,89;9,58;9,29;8,33;8,13;9,12;Vollständige Demokratie
12; Luxemburg;8,81;10;8,93;6,67;8,75;9,71;Vollständige Demokratie
13; Deutschland;8,68;9,58;8,57;8,33;7,5;9,41;Vollständige Demokratie
14; Vereinigtes Königreich;8,53;9,58;7,5;8,33;8,13;9,12;Vollständige Demokratie
15; Uruguay;8,38;10;8,57;6,11;7,5;9,71;Vollständige Demokratie
16; Österreich;8,29;9,58;7,86;8,33;6,88;8,82;Vollständige Demokratie
17; Mauritius;8,22;9,17;8,21;5,56;8,75;9,41;Vollständige Demokratie
18; Malta;8,21;9,17;8,21;6,11;8,75;8,82;Vollständige Demokratie
19; Spanien;8,08;9,17;7,14;7,78;7,5;8,82;Vollständige Demokratie
20; Costa Rica;8,07;9,58;7,5;6,67;7,5;9,12;Vollständige Demokratie
21; Südkorea;8;9,17;7,86;7,22;7,5;8,24;Unvollständige Demokratie
22; Japan;7,99;8,75;8,21;6,67;7,5;8,82;Unvollständige Demokratie
23; Chile;7,97;9,58;8,57;4,44;8,13;9,12;Unvollständige Demokratie
23; Estland;7,97;9,58;8,21;6,67;6,88;8,53;Unvollständige Demokratie
25; Vereinigte Staaten;7,96;9,17;7,14;7,78;7,5;8,24;Unvollständige Demokratie
26; Kap Verde;7,88;9,17;7,86;6,67;6,88;8,82;Unvollständige Demokratie
27; Portugal;7,84;9,58;7,5;6,11;6,88;9,12;Unvollständige Demokratie
28; Botswana;7,81;9,17;7,14;6,11;7,5;9,12;Unvollständige Demokratie
29; Frankreich;7,8;9,58;7,5;7,78;5,63;8,53;Unvollständige Demokratie
30; Israel;7,79;9,17;7,5;8,89;7,5;5,88;Unvollständige Demokratie
31; Belgien;7,78;9,58;8,93;5;6,88;8,53;Unvollständige Demokratie
32; Taiwan;7,73;9,58;8,21;6,11;5,63;9,12;Unvollständige Demokratie
33; Italien;7,71;9,58;6,07;7,78;6,88;8,24;Unvollständige Demokratie
34; Tschechien;7,69;9,58;6,79;6,67;6,88;8,53;Unvollständige Demokratie
35; Zypern;7,59;9,17;6,43;6,67;6,88;8,82;Unvollständige Demokratie
36; Slowenien;7,5;9,58;6,79;6,67;6,25;8,24;Unvollständige Demokratie
36; Litauen;7,5;9,58;6,43;6,11;6,25;9,12;Unvollständige Demokratie
38; Lettland;7,38;9,58;6,07;5,56;6,88;8,82;Unvollständige Demokratie
39; Griechenland;7,29;9,58;5,36;6,11;6,88;8,53;Unvollständige Demokratie
40; Südafrika;7,24;7,42;7,5;8,33;5;7,94;Unvollständige Demokratie
41; Indien;7,23;9,17;6,79;7,22;5,63;7,35;Unvollständige Demokratie
42; Osttimor;7,19;9,08;6,79;5,56;6,88;7,65;Unvollständige Demokratie
43; Trinidad und Tobago;7,16;9,58;7,14;6,11;5,63;7,35;Unvollständige Demokratie
44; Slowakei;7,1;9,58;6,79;5,56;5,63;7,94;Unvollständige Demokratie
45; Panama;7,05;9,58;6,07;6,67;5;7,94;Unvollständige Demokratie
46; Bulgarien;7,03;9,17;6,43;7,22;4,38;7,94;Unvollständige Demokratie
47; Argentinien;7,02;9,17;5,36;6,11;6,25;8,24;Unvollständige Demokratie
47; Jamaika;7,02;8,75;7,14;4,44;6,25;8,53;Unvollständige Demokratie
49; Suriname;6,98;9,17;6,43;6,67;5;7,65;Unvollständige Demokratie
50; Brasilien;6,97;9,58;5,36;6,67;5;8,24;Unvollständige Demokratie
51; Kolumbien;6,96;9,17;6,79;5;5,63;8,24;Unvollständige Demokratie
52; Malaysia;6,88;7,75;5,86;6,67;6,25;5,88;Unvollständige Demokratie
53; Philippinen;6,71;9,17;5,71;7,22;4,38;7,06;Unvollständige Demokratie
54; Polen;6,67;9,17;6,07;6,11;4,38;7,65;Unvollständige Demokratie
54; Guyana;6,67;9,17;5,71;6,11;5;7,35;Unvollständige Demokratie
56; Lesotho;6,64;9,17;5;6,67;5,63;6,76;Unvollständige Demokratie
57; Ghana;6,63;8,33;5,71;6,67;6,25;6,18;Unvollständige Demokratie
57; Ungarn;6,63;8,75;6,07;5;6,25;7,06;Unvollständige Demokratie
59; Peru;6,6;9,17;5;5,56;5,63;7,65;Unvollständige Demokratie
60; Kroatien;6,57;9,17;6,07;5,56;5;7,06;Unvollständige Demokratie
61; Dominikanische Republik;6,54;9,17;5,36;6,11;5;7,06;Unvollständige Demokratie
62; Mongolei;6,5;9,17;5,71;5,56;5;7,06;Unvollständige Demokratie
63; Serbien;6,41;8,25;5,36;6,11;5;7,35;Unvollständige Demokratie
63; Tunesien;6,41;6,42;5,71;7,78;6,25;5,88;Unvollständige Demokratie
65; Indonesien;6,39;6,92;7,14;6,67;5,63;5,59;Unvollständige Demokratie
66; Singapur;6,38;4,33;7,86;6,11;6,25;7,35;Unvollständige Demokratie
66; Rumänien;6,38;9,17;5,71;5;4,38;7,65;Unvollständige Demokratie
68; Ecuador;6,27;8,75;5,36;6,11;4,38;6,76;Unvollständige Demokratie
69; Namibia;6,25;5,67;5,36;6,67;5,63;7,94;Unvollständige Demokratie
70; Paraguay;6,24;8,75;5,71;5;4,38;7,35;Unvollständige Demokratie
71; Sri Lanka;6,19;7,83;5,71;5;6,25;6,18;Unvollständige Demokratie
71; Mexiko;6,19;8,33;6,07;7,22;3,13;6,18;Unvollständige Demokratie
73; Hongkong;6,15;3,08;6,07;5,56;7,5;8,53;Unvollständige Demokratie
73; Senegal;6,15;7,5;6,07;4,44;6,25;6,47;Unvollständige Demokratie
75; Papua-Neuguinea;6,03;6,92;6,07;3,89;5,63;7,65;Unvollständige Demokratie
76; Albanien;5,98;7;4,71;5,56;5;7,65;Hybridregime
77; El Salvador;5,96;9,17;4,29;5,56;3,75;7,06;Hybridregime
78; Nordmazedonien;5,87;6,5;5,36;6,67;3,75;7,06;Hybridregime
79; Moldau;5,85;7,08;4,64;6,11;4,38;7,06;Hybridregime
79; Fidschi;5,85;6,58;5,36;6,11;5,63;5,59;Hybridregime
81; Montenegro;5,74;6,08;5,36;6,11;4,38;6,76;Hybridregime
81; Benin;5,74;6,5;5,71;5;5,63;5,88;Hybridregime
83; Bolivien;5,7;7,5;4,64;5,56;3,75;7,06;Hybridregime
84; Ukraine;5,69;6,17;3,21;6,67;6,25;6,18;Hybridregime
85; Honduras;5,63;8,5;4,64;4,44;4,38;6,18;Hybridregime
86; Sambia;5,61;6,17;4,64;3,89;6,88;6,47;Hybridregime
87; Guatemala;5,6;7,92;5,36;3,89;4,38;6,47;Hybridregime
88; Bangladesch;5,57;7,83;5,07;5,56;4,38;5;Hybridregime
89; Georgien;5,5;7,83;3,57;6,11;4,38;5,59;Hybridregime
90; Malawi;5,49;6,58;4,29;4,44;6,25;5,88;Hybridregime
91; Tansania;5,41;7;5;5;5,63;4,41;Hybridregime
91; Mali;5,41;7,42;3,93;3,89;5,63;6,18;Hybridregime
